route_id,route_short_name,route_long_name,route_type,agency_id
1128,,ICE 980,2,DB
1129,,ICE 881,2,DB
1130,,ICE 880,2,DB
1131,,ICE 588,2,DB
1132,,ICE 883,2,DB
1133,,ICE 788,2,DB
1134,,ICE 683,2,DB
1135,,ICE 681,2,DB
1137,,ICE 535,2,DB
1138,,ICE 533,2,DB
1142,,ICE 1587,2,DB
1147,,ICE 645,2,DB
1150,,ICE 125,2,DB
1152,,ICE 129,2,DB
1154,,ICE 1046,2,DB
1155,,ICE 221,2,DB
1156,,ICE 1102,2,DB
1157,,ICE 609,2,DB
1160,,ICE 1098,2,DB
1162,,ICE 1041,2,DB
1167,,ICE 1690,2,DB
1168,,ICE 649,2,DB
1169,,ICE 1043,2,DB
1172,,ICE 540,2,DB
1173,,ICE 772,2,DB
1174,,ICE 770,2,DB
1175,,ICE 578,2,DB
1176,,ICE 576,2,DB
1177,,ICE 1094,2,DB
1180,,ICE 572,2,DB
1181,,ICE 1110,2,DB
1184,,ICE 970,2,DB
1186,,ICE 672,2,DB
1187,,ICE 9556,2,DB
1188,,ICE 571,2,DB
1189,,ICE 973,2,DB
1190,,ICE 575,2,DB
1191,,ICE 577,2,DB
1192,,ICE 826,2,DB
1194,,ICE 579,2,DB
1195,,ICE 771,2,DB
1196,,ICE 1171,2,DB
1197,,ICE 570,2,DB
1198,,ICE 773,2,DB
1199,,ICE 292,2,DB
1200,,ICE 887,2,DB
1201,,ICE 1088,2,DB
1202,,ICE 1598,2,DB
1203,,ICE 1087,2,DB
1204,,ICE 879,2,DB
1205,,ICE 250,2,NS
1207,,ICE 1582,2,DB
1208,,ICE 1180,2,DB
1209,,ICE 538,2,DB
1210,,ICE 1589,2,DB
1211,,ICE 536,2,DB
1212,,ICE 586,2,DB
1213,,ICE 1581,2,DB
1214,,ICE 1681,2,DB
1215,,ICE 584,2,DB
1216,,ICE 776,2,DB
1217,,ICE 633,2,DB
1218,,ICE 582,2,DB
1219,,ICE 782,2,DB
1220,,ICE 635,2,DB
1221,,ICE 685,2,DB
1222,,ICE 634,2,DB
1229,,ICE 1736,2,DB
1230,,ICE 655,2,DB
1233,,ICE 885,2,DB
1234,,ICE 585,2,DB
1235,,ICE 573,2,DB
1236,,ICE 1097,2,DB
1238,,ICE 1175,2,SBB
1240,,ICE 1177,2,DB
1241,,ICE 875,2,DB
1242,,ICE 1685,2,DB
1243,,ICE 1195,2,DB
1244,,ICE 574,2,DB
1245,,ICE 1084,2,DB
1246,,ICE 1057,2,DB
1247,,ICE 657,2,DB
1250,,ICE 1172,2,DB
1251,,ICE 673,2,DB
1259,,ICE 705,2,DB
1260,,ICE 903,2,DB
1261,,ICE 1597,2,DB
1262,,ICE 1683,2,DB
1263,,ICE 876,2,DB
1264,,ICE 998,2,DB
1268,,ICE 1520,2,DB
1269,,ICE 823,2,DB
1270,,ICE 1625,2,DB
1271,,ICE 1086,2,DB
1272,,ICE 758,2,DB
1273,,ICE 756,2,DB
1274,,ICE 873,2,DB
1275,,ICE 1291,2,DB
1276,,ICE 1191,2,DB
1286,,ICE 1279,2,SBB
1287,,ICE 670,2,DB
1289,,ICE 255,2,DB
1290,,ICE 153,2,DB
1291,,ICE 156,2,NS
1292,,ICE 155,2,DB
1293,,ICE 154,2,NS
1294,,ICE 157,2,DB
1295,,ICE 159,2,DB
1296,,ICE 254,2,NS
1297,,ICE 251,2,DB
1299,,ICE 1020,2,DB
1300,,ICE 852,2,DB
1301,,ICE 534,2,DB
1302,,ICE 974,2,DB
1303,,ICE 978,2,DB
1304,,ICE 1620,2,DB
1305,,ICE 120,2,NS
1323,,ICE 1621,2,DB
1331,,ICE 1743,2,DB
1332,,ICE 1099,2,DB
1335,,ICE 104,2,DB
1336,,ICE 120,2,DB
1337,,ICE 928,2,DB
1347,,ICE 1270,2,DB
1348,,ICE 1256,2,DB
